year,agri_land_pct,forest_pct,water_withdraw_pct,child_mortality,malnutrition,pop_growth,urban_pct,elec_access,cereal_yield
1960,,,,196.3,,,8.23352130661889,,
1961,43.9734002178726,,,188.3,,3.73009594178482,8.43593866814932,,1244.7
1962,43.9878973539024,,,181.1,,3.82605158835613,8.63407949596207,,1206.7
1963,44.0023946656359,,,175.0,,3.88372295387027,8.81534505126462,,1249.7
1964,44.0168919773694,,,170.0,,3.92703224813929,8.9723034255813,,1199.6
1965,44.0313891133992,,,165.9,,3.98207596273243,9.11698114874609,,1143.0
1966,44.0458864251327,,,162.5,,3.98604523872044,9.26227467484218,,1139.9
1967,44.0603837368662,,,159.5,,3.96686756505209,9.42108045795278,,1235.3
1968,44.0748808728959,,,156.6,,3.9536741403055,9.60629495216106,,1286.7
1969,44.0893781846294,,,153.5,,3.92315983423203,9.82929171820225,,1303.0
1970,44.1038754963629,,,150.3,,3.84740523915883,10.1439264299252,,1278.2
1971,44.1183726323927,,,146.9,,3.62867804375875,10.5964179687854,,1270.2
1972,44.1328699441262,,,143.3,,3.47737996329827,11.1579861872809,,1286.5
1973,44.1473672558597,,,139.5,,3.45251320661983,11.7970225025571,,1306.3
1974,44.1618643918895,,,135.4,,3.38678136919723,12.4819183317594,,1352.2
1975,44.9309484485364,,,131.2,,3.3228334998343,13.1810650920333,,1396.8
1976,44.9414906701339,,,126.7,,3.24719801479584,13.8628542005242,,1582.8
1977,44.9450047439997,,,122.3,,3.32017154246189,14.4956770743776,,1550.8
1978,44.7310872544541,,,117.8,,3.44214036466766,15.0479251307389,,1409.5
1979,44.7455843904839,,,113.5,,3.46501914434705,15.4844182465257,,1282.7
1980,44.7600817022174,,,109.6,,3.54426236090347,15.8352387726023,,1241.7
1981,44.7745790139509,,,105.9,,3.57517296207229,16.16414108945,,1561.6
1982,44.7890761499807,,,102.6,,3.57748566435714,16.4751642144151,,1962.7
1983,44.8035734617142,,,99.8,,3.65320193175194,16.7672965803142,,1675.9
1984,44.6862930034789,,,97.4,,3.67757870524855,17.0395266199639,,1343.1
1985,46.1925144955547,,,95.7,,3.64262207395944,17.2908427661806,,1633.8
1986,46.2403955090136,,,94.9,,3.5800083750048,17.5202334517811,,1886.2
1987,46.3638291105879,,,95.1,,3.52696880389304,17.7266871095817,,1568.5
1988,46.7771736303897,,,96.3,,3.52708553980729,17.9091921723993,,1745.6
1989,47.4786723828935,,,98.5,,3.50683931732563,18.0668782773996,,1723.0
1990,46.9959282426117,6.77959728713498,9.89855072463768,101.4,,3.44045635367696,18.1962956954221,,1561.8
1991,47.1984283304635,6.79763327125136,9.66228168115942,104.6,,3.23997624716531,18.2983212940893,,1712.4
1992,47.5555478441157,6.81566925536775,9.42601263285024,107.4,,3.06483168454324,18.3803510644475,,1661.1
1993,47.1624125874126,6.83370523948413,9.18974358937198,109.3,19.4,2.96883713169678,18.4500145151536,10.9,1461.2
1994,47.8656682011456,6.85174122360052,8.95347454589372,110.2,17.9,2.903399231403,18.5149411548647,3.47343683242798,1918.2
1995,47.8555669958183,6.86977720771691,8.71720550241546,110.0,,2.83906557159965,18.5827604922377,5.42734336853027,1753.1
1996,46.5224169800049,6.88781319183329,8.48093645410628,108.9,,2.75278021555245,18.6611020359295,7.37853050231934,1402.6
1997,46.7881703974418,6.90584917594968,8.24466741062802,107.0,,2.73276496655617,18.7575952945971,9.32631778717041,1397.2
1998,46.5637106862986,6.92388516006606,8.00839836714976,104.2,17.8,2.75957646009425,18.8798697768976,14.5,1590.0
1999,47.3126494359911,6.94192114418245,7.77212931884058,100.6,,2.88430050146184,19.0288523643308,13.2088918685913,1427.7
2000,46.9669541764768,6.95995712829884,7.53586027536232,96.3,17.1,3.01293994477925,19.4553832211834,15.2,1375.0
2001,47.1571142425414,6.89936570966722,8.75981667149759,91.6,,3.13629206541925,20.4416297068833,17.0,1639.6
2002,47.1202164669501,6.8387742910356,9.98377307246377,86.6,,3.14626442047843,21.8586568137501,18.9,1488.3
2003,47.2186105351934,6.77818287240398,11.207729468599,81.6,16.4,3.08528898836117,23.563889811899,16.0,1594.0
2004,47.4259408932776,6.71759145377236,11.8274672173913,76.6,,3.10482476419105,25.4147539714454,22.6,1805.7
2005,47.4435112626067,6.65700003514074,12.4472049710145,71.5,18.0,3.07223123352542,27.2686745625048,24.5,1646.1
2006,47.5348771831184,6.59640861650912,13.0669427198068,67.1,,3.04704867411558,28.9830768551925,26.4,1646.4
2007,47.5565720209439,6.5358171978775,13.686680468599,63.2,,3.02220921188685,30.4153861196239,28.3,1773.1
2008,47.5958372280985,6.47522577924588,14.3064182173913,58.2,16.5,3.02964938264436,31.4230276259143,30.3,1417.5
2009,47.9865096461328,6.41463436061426,14.9261559710145,55.4,,3.0211086032266,31.8603086707305,23.0,1242.8
2010,48.11958182521,6.35404294198264,15.5458937198068,53.5,,2.90158845467743,31.8713287706458,19.2,1710.1
2011,49.0740895034614,6.32103524616087,15.5478260869565,52.2,12.4,2.75013743696978,31.8673949025409,36.2,1514.6
2012,49.6703443792388,6.28802755033911,15.5497584541063,51.2,,2.6080744180495,31.8558130142761,38.1,1744.8
2013,49.7928697684225,6.25501985451734,15.551690821256,50.0,,2.47210752389349,31.8324454433988,40.1,1661.5
2014,49.747157992761,6.22201215869558,15.5536231884058,48.8,11.2,2.33901192230694,31.7931545274563,36.0,1583.4
2015,49.5619679036477,6.16780662377195,15.5555555555556,47.4,,2.2270329432256,31.7338026039958,41.6,1772.7
2016,49.6614869747445,6.19833694004437,19.4782608695652,46.0,13.0,2.20775684612709,31.6502520105647,53.1,1383.1
2017,48.9288901383398,6.22865954160824,19.4782608695652,45.3,,2.17412854990493,31.5383650847102,55.8,1426.0
2018,49.5521664949056,6.25877654107482,19.4782608695652,44.3,,2.03083744189606,31.3940041639796,61.2,1709.2
2019,49.5174851803854,6.23762944896123,19.4782608695652,43.3,,1.96381549826771,31.1895566421135,69.7,1604.7
2020,49.3892110936528,6.21662477880402,19.4782608695652,42.8,,1.96197633664853,31.2063494632616,71.5,1842.6
2021,49.4013975092459,6.21662477880402,19.4782608695652,41.9,,1.90040858948898,31.2879334021971,76.5,1522.4
2022,49.4830453575056,6.21662477880402,19.4782608695652,41.1,9.8,1.92297608206469,31.4307820066946,76.0,1477.4
2023,49.5263223856783,6.21662477880402,,39.9,,1.98296028478422,31.6330340816429,76.2,1757.5
2024,,,,,,1.95751431565234,31.8937831721599,,
