Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
KEN,2023,SH.DYN.MORT,39.9
KEN,2022,SH.DYN.MORT,41.1
KEN,2021,SH.DYN.MORT,41.9
KEN,2020,SH.DYN.MORT,42.8
KEN,2019,SH.DYN.MORT,43.3
KEN,2018,SH.DYN.MORT,44.3
KEN,2017,SH.DYN.MORT,45.3
KEN,2016,SH.DYN.MORT,46
KEN,2015,SH.DYN.MORT,47.4
KEN,2014,SH.DYN.MORT,48.8
KEN,2013,SH.DYN.MORT,50
KEN,2012,SH.DYN.MORT,51.2
KEN,2011,SH.DYN.MORT,52.2
KEN,2010,SH.DYN.MORT,53.5
KEN,2009,SH.DYN.MORT,55.4
KEN,2008,SH.DYN.MORT,58.2
KEN,2007,SH.DYN.MORT,63.2
KEN,2006,SH.DYN.MORT,67.1
KEN,2005,SH.DYN.MORT,71.5
KEN,2004,SH.DYN.MORT,76.6
KEN,2003,SH.DYN.MORT,81.6
KEN,2002,SH.DYN.MORT,86.6
KEN,2001,SH.DYN.MORT,91.6
KEN,2000,SH.DYN.MORT,96.3
KEN,1999,SH.DYN.MORT,100.6
KEN,1998,SH.DYN.MORT,104.2
KEN,1997,SH.DYN.MORT,107
KEN,1996,SH.DYN.MORT,108.9
KEN,1995,SH.DYN.MORT,110
KEN,1994,SH.DYN.MORT,110.2
KEN,1993,SH.DYN.MORT,109.3
KEN,1992,SH.DYN.MORT,107.4
KEN,1991,SH.DYN.MORT,104.6
KEN,1990,SH.DYN.MORT,101.4
KEN,1989,SH.DYN.MORT,98.5
KEN,1988,SH.DYN.MORT,96.3
KEN,1987,SH.DYN.MORT,95.1
KEN,1986,SH.DYN.MORT,94.9
KEN,1985,SH.DYN.MORT,95.7
KEN,1984,SH.DYN.MORT,97.4
KEN,1983,SH.DYN.MORT,99.8
KEN,1982,SH.DYN.MORT,102.6
KEN,1981,SH.DYN.MORT,105.9
KEN,1980,SH.DYN.MORT,109.6
KEN,1979,SH.DYN.MORT,113.5
KEN,1978,SH.DYN.MORT,117.8
KEN,1977,SH.DYN.MORT,122.3
KEN,1976,SH.DYN.MORT,126.7
KEN,1975,SH.DYN.MORT,131.2
KEN,1974,SH.DYN.MORT,135.4
KEN,1973,SH.DYN.MORT,139.5
KEN,1972,SH.DYN.MORT,143.3
KEN,1971,SH.DYN.MORT,146.9
KEN,1970,SH.DYN.MORT,150.3
KEN,1969,SH.DYN.MORT,153.5
KEN,1968,SH.DYN.MORT,156.6
KEN,1967,SH.DYN.MORT,159.5
KEN,1966,SH.DYN.MORT,162.5
KEN,1965,SH.DYN.MORT,165.9
KEN,1964,SH.DYN.MORT,170
KEN,1963,SH.DYN.MORT,175
KEN,1962,SH.DYN.MORT,181.1
KEN,1961,SH.DYN.MORT,188.3
KEN,1960,SH.DYN.MORT,196.3
KEN,2022,SI.POV.DDAY,46.9
KEN,2021,SI.POV.DDAY,46.4
KEN,2020,SI.POV.DDAY,44.4
KEN,2015,SI.POV.DDAY,37.7
KEN,2005,SI.POV.DDAY,44.6
KEN,1997,SI.POV.DDAY,32.6
KEN,1994,SI.POV.DDAY,32
KEN,1992,SI.POV.DDAY,32
KEN,2024,SP.POP.GROW,1.95751431565234
KEN,2023,SP.POP.GROW,1.98296028478422
KEN,2022,SP.POP.GROW,1.92297608206469
KEN,2021,SP.POP.GROW,1.90040858948898
KEN,2020,SP.POP.GROW,1.96197633664853
KEN,2019,SP.POP.GROW,1.96381549826771
KEN,2018,SP.POP.GROW,2.03083744189606
KEN,2017,SP.POP.GROW,2.17412854990493
KEN,2016,SP.POP.GROW,2.20775684612709
KEN,2015,SP.POP.GROW,2.2270329432256
KEN,2014,SP.POP.GROW,2.33901192230694
KEN,2013,SP.POP.GROW,2.47210752389349
KEN,2012,SP.POP.GROW,2.6080744180495
KEN,2011,SP.POP.GROW,2.75013743696978
KEN,2010,SP.POP.GROW,2.90158845467743
KEN,2009,SP.POP.GROW,3.0211086032266
KEN,2008,SP.POP.GROW,3.02964938264436
KEN,2007,SP.POP.GROW,3.02220921188685
KEN,2006,SP.POP.GROW,3.04704867411558
KEN,2005,SP.POP.GROW,3.07223123352542
KEN,2004,SP.POP.GROW,3.10482476419105
KEN,2003,SP.POP.GROW,3.08528898836117
KEN,2002,SP.POP.GROW,3.14626442047843
KEN,2001,SP.POP.GROW,3.13629206541925
KEN,2000,SP.POP.GROW,3.01293994477925
KEN,1999,SP.POP.GROW,2.88430050146184
KEN,1998,SP.POP.GROW,2.75957646009425
KEN,1997,SP.POP.GROW,2.73276496655617
KEN,1996,SP.POP.GROW,2.75278021555245
KEN,1995,SP.POP.GROW,2.83906557159965
KEN,1994,SP.POP.GROW,2.903399231403
KEN,1993,SP.POP.GROW,2.96883713169678
KEN,1992,SP.POP.GROW,3.06483168454324
KEN,1991,SP.POP.GROW,3.23997624716531
KEN,1990,SP.POP.GROW,3.44045635367696
KEN,1989,SP.POP.GROW,3.50683931732563
KEN,1988,SP.POP.GROW,3.52708553980729
KEN,1987,SP.POP.GROW,3.52696880389304
KEN,1986,SP.POP.GROW,3.5800083750048
KEN,1985,SP.POP.GROW,3.64262207395944
KEN,1984,SP.POP.GROW,3.67757870524855
KEN,1983,SP.POP.GROW,3.65320193175194
KEN,1982,SP.POP.GROW,3.57748566435714
KEN,1981,SP.POP.GROW,3.57517296207229
KEN,1980,SP.POP.GROW,3.54426236090347
KEN,1979,SP.POP.GROW,3.46501914434705
KEN,1978,SP.POP.GROW,3.44214036466766
KEN,1977,SP.POP.GROW,3.32017154246189
KEN,1976,SP.POP.GROW,3.24719801479584
KEN,1975,SP.POP.GROW,3.3228334998343
KEN,1974,SP.POP.GROW,3.38678136919723
KEN,1973,SP.POP.GROW,3.45251320661983
KEN,1972,SP.POP.GROW,3.47737996329827
KEN,1971,SP.POP.GROW,3.62867804375875
KEN,1970,SP.POP.GROW,3.84740523915883
KEN,1969,SP.POP.GROW,3.92315983423203
KEN,1968,SP.POP.GROW,3.9536741403055
KEN,1967,SP.POP.GROW,3.96686756505209
KEN,1966,SP.POP.GROW,3.98604523872044
KEN,1965,SP.POP.GROW,3.98207596273243
KEN,1964,SP.POP.GROW,3.92703224813929
KEN,1963,SP.POP.GROW,3.88372295387027
KEN,1962,SP.POP.GROW,3.82605158835613
KEN,1961,SP.POP.GROW,3.73009594178482
